,,int,str,float,int,int,int,int,int,float,float,int,int,int,int,int,int,int,float
0,,¼øÀ§,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
118,2015,4,SK,4.71,144,69,73,31,60,0.486,1280.2,1358,153,517,70,1149,724,670,1.46
119,2015,5,KIA,4.79,144,67,77,32,65,0.465,1273,1371,143,572,98,979,739,678,1.53
120,2015,6,³Ø¼¾,4.91,144,78,65,29,44,0.545,1286,1404,146,518,81,1066,790,701,1.49
121,2015,7,µÎ»ê,5.02,144,79,65,30,57,0.549,1286,1385,138,584,77,1064,776,718,1.53
122,2015,8,·Ôµ¥,5.07,144,66,77,19,47,0.462,1281.1,1461,164,489,87,1015,802,722,1.52
123,2015,9,ÇÑÈ­,5.11,144,68,76,32,44,0.472,1279.2,1349,157,648,96,920,800,727,1.56
124,2015,10,KT,5.56,144,52,91,16,31,0.364,1266.2,1518,154,577,87,1046,875,782,1.65
125,2016,1,µÎ»ê,4.45,144,93,50,36,55,0.65,1287.2,1385,136,498,77,982,682,636,1.46
126,2016,2,NC,4.48,144,83,58,36,62,0.589,1286.1,1314,137,516,86,1147,690,640,1.42
127,2016,3,SK,4.87,144,69,75,31,43,0.479,1274,1386,151,527,76,945,784,689,1.5
128,2016,4,³Ø¼¾,4.96,144,77,66,38,74,0.538,1280.1,1487,152,435,68,895,757,705,1.5
129,2016,5,KIA,4.97,144,70,73,38,74,0.49,1276,1456,131,561,59,965,785,705,1.58
130,2016,6,LG,5.04,144,71,71,34,75,0.5,1287.2,1426,122,539,109,909,807,721,1.53
131,2016,7,·Ôµ¥,5.63,144,66,78,27,59,0.458,1266.1,1486,161,585,78,1009,865,792,1.64
132,2016,8,»ï¼º,5.64,144,65,78,34,60,0.455,1282.1,1507,193,518,87,935,869,804,1.58
133,2016,9,ÇÑÈ­,5.76,144,66,75,24,39,0.468,1292.2,1520,155,634,76,976,908,827,1.67
134,2016,10,KT,5.92,144,53,89,27,48,0.373,1273,1593,145,560,84,980,927,838,1.69
135,2017,1,LG,4.3,144,69,72,32,66,0.489,1279,1305,124,379,102,1040,677,611,1.32
136,2017,2,µÎ»ê,4.38,144,84,57,35,46,0.596,1288,1405,125,464,87,956,678,627,1.45
137,2017,3,·Ôµ¥,4.56,144,80,62,39,59,0.563,1287.1,1357,162,477,79,1096,701,652,1.42
138,2017,4,NC,4.71,144,79,62,32,51,0.56,1284.2,1342,169,470,93,1097,745,673,1.41
139,2017,5,KIA,4.79,144,87,56,33,46,0.608,1290,1518,137,434,77,985,743,687,1.51
140,2017,6,SK,5.02,144,75,68,30,64,0.524,1270.2,1443,154,481,105,940,767,709,1.51
141,2017,7,³Ø¼¾,5.03,144,69,73,40,66,0.486,1271,1488,149,388,97,1005,764,710,1.48
142,2017,8,ÇÑÈ­,5.28,144,61,81,31,49,0.43,1273,1474,166,446,100,914,820,747,1.51
143,2017,9,KT,5.75,144,50,94,22,41,0.347,1256,1524,174,433,95,913,876,803,1.56
144,2017,10,»ï¼º,5.88,144,55,84,27,34,0.396,1281.1,1541,187,548,118,1063,911,837,1.63
